,status,walkscore,snapped_lat,snapped_lon,bike_score
445,1,10.0,47.517,-122.0265,54.0
446,1,73.0,47.6325,-122.346,74.0
447,1,93.0,47.613,-122.2935,74.0
448,1,25.0,47.43,-122.1855,29.0
449,1,7.0,47.3475,-122.037,31.0
450,1,96.0,47.6745,-122.3145,91.0
451,1,67.0,47.3265,-122.319,47.0
452,1,35.0,47.499,-122.1495,42.0
453,1,69.0,47.5695,-122.394,56.0
454,1,86.0,47.205,-121.9875,52.0
455,1,72.0,47.6565,-122.358,77.0
456,1,47.0,47.5095,-122.1585,49.0
457,1,70.0,47.6415,-122.3745,68.0
458,1,5.0,47.4285,-122.1645,33.0
459,1,77.0,47.607,-122.307,88.0
460,1,8.0,47.334,-122.2635,15.0
461,1,35.0,47.5695,-121.9965,49.0
462,1,8.0,47.364,-122.271,5.0
463,1,37.0,47.7435,-122.2485,19.0
464,1,17.0,47.568,-121.872,3.0
465,1,46.0,47.73,-122.2065,50.0
466,1,69.0,47.658,-122.358,71.0
467,1,78.0,47.4885,-122.2035,84.0
468,1,93.0,47.6535,-122.3565,90.0
469,1,62.0,47.6445,-122.3685,76.0
470,1,98.0,45.528,-122.694,95.0
471,1,9.0,47.7375,-121.9545,19.0
472,1,67.0,47.2095,-121.989,52.0
473,1,86.0,47.5215,-122.358,71.0
474,1,15.0,47.7675,-122.226,44.0
475,1,56.0,47.6445,-122.4075,54.0
476,1,32.0,47.7255,-122.3025,65.0
477,1,0.0,47.448,-122.5125,11.0
478,1,35.0,47.769,-122.25,23.0
479,1,9.0,47.772,-122.274,14.0
480,1,91.0,47.6775,-122.376,86.0
481,1,48.0,47.547,-121.995,40.0
482,1,61.0,47.5545,-122.376,50.0
483,1,43.0,47.511,-122.334,37.0
484,1,30.0,47.3175,-122.175,30.0
485,1,29.0,47.1945,-122.0085,31.0
486,1,39.0,47.2845,-122.256,48.0
487,1,63.0,47.4885,-121.7895,60.0
488,1,80.0,47.697,-122.3475,71.0
489,1,69.0,47.6505,-122.3745,71.0
490,1,49.0,47.7315,-122.238,45.0
491,1,61.0,47.6475,-121.9065,51.0
492,1,18.0,47.4045,-122.175,32.0
493,1,97.0,47.6715,-122.3175,99.0
494,1,9.0,47.529,-122.145,13.0
495,1,60.0,47.529,-122.3715,64.0
496,1,37.0,47.664,-122.403,52.0
497,1,70.0,47.694,-122.3715,76.0
498,1,87.0,47.6655,-122.325,89.0
499,1,0.0,47.4855,-121.6995,4.0
500,1,60.0,47.529,-122.322,84.0
501,1,13.0,47.2635,-122.2875,26.0
502,1,11.0,47.7,-121.9125,26.0
503,1,45.0,47.721,-122.3625,43.0
504,1,44.0,47.487,-122.325,47.0
505,1,18.0,47.385,-122.0265,34.0
506,1,0.0,47.3715,-122.424,28.0
507,1,43.0,47.688,-122.2035,36.0
508,1,33.0,47.289,-122.37,37.0
509,1,18.0,47.3415,-122.2815,24.0
510,1,96.0,47.658,-122.337,87.0
511,1,100.0,40.7745,-73.9125,67.0
512,1,15.0,47.3835,-122.028,33.0
513,1,30.0,47.5635,-122.4015,27.0
514,1,92.0,47.6235,-122.3175,83.0
515,1,13.0,47.448,-122.1315,12.0
516,1,7.0,47.7465,-122.0355,14.0
517,1,44.0,47.6355,-122.2995,72.0
518,1,23.0,47.4915,-122.319,46.0
519,1,23.0,47.3655,-122.2095,22.0
520,1,23.0,47.3505,-122.055,30.0
521,1,91.0,47.6175,-122.3025,82.0
522,1,54.0,47.2875,-122.211,57.0
523,1,62.0,47.715,-122.2935,56.0
524,1,1.0,47.568,-122.052,24.0
525,1,55.0,47.6325,-122.394,52.0
526,1,21.0,47.5905,-122.1765,38.0
527,1,54.0,47.7315,-122.3385,62.0
528,1,48.0,47.3565,-122.16,36.0
529,1,17.0,47.58,-122.2455,15.0
530,1,7.0,47.3385,-122.259,12.0
531,1,87.0,47.553,-122.277,73.0
532,1,76.0,47.385,-122.2455,77.0
533,1,70.0,47.5515,-122.3235,86.0
534,1,2.0,47.5905,-122.0865,40.0
535,1,71.0,47.577,-122.415,93.0
536,1,69.0,47.5515,-122.2665,56.0
537,1,60.0,47.4765,-122.289,45.0
538,1,80.0,47.523,-122.358,73.0
539,1,50.0,47.727,-122.2125,26.0
540,1,80.0,47.553,-122.2755,66.0
541,1,5.0,47.4,-122.154,25.0
542,1,26.0,47.511,-122.25,27.0
543,1,13.0,47.5905,-122.2065,9.0
544,1,27.0,47.7705,-122.2515,19.0
545,1,75.0,47.6805,-122.382,86.0
546,1,23.0,47.6235,-122.2185,22.0
547,1,8.0,47.6265,-122.013,23.0
548,1,60.0,47.4855,-122.3475,53.0
549,1,8.0,47.6355,-122.034,31.0
550,1,69.0,47.487,-122.2185,68.0
551,1,73.0,47.5725,-122.313,71.0
552,1,78.0,47.6085,-122.307,90.0
553,1,49.0,42.1965,-70.7325,42.0
554,1,67.0,47.724,-122.211,33.0
555,1,15.0,47.364,-122.0895,25.0
556,1,12.0,47.553,-122.217,18.0
557,1,43.0,47.544,-122.2905,64.0
558,1,67.0,47.64,-122.3175,71.0
559,1,12.0,47.313,-122.184,14.0
560,1,19.0,47.3115,-122.382,8.0
561,1,35.0,47.7435,-122.337,80.0
562,1,90.0,47.6745,-122.385,95.0
563,1,7.0,47.3505,-122.0835,9.0
564,1,3.0,47.718,-122.034,15.0
565,1,73.0,47.712,-122.298,51.0
566,1,15.0,47.259,-122.2155,33.0
567,1,33.0,47.3745,-122.2215,40.0
568,1,51.0,47.361,-122.1195,48.0
569,1,12.0,47.706,-122.1165,33.0
570,1,85.0,47.5785,-122.3145,90.0
571,1,14.0,47.337,-122.2905,26.0
572,1,72.0,47.292,-122.2155,66.0
573,1,97.0,47.673,-122.3175,96.0
574,1,69.0,47.6685,-122.34,93.0
575,1,62.0,47.538,-122.2695,51.0
576,1,25.0,47.628,-122.115,47.0
577,1,0.0,47.307,-122.0355,19.0
578,1,82.0,47.385,-122.2275,56.0
579,1,66.0,47.4675,-122.3565,55.0
580,1,36.0,47.3535,-122.0205,53.0
581,1,23.0,47.5065,-122.382,8.0
582,1,60.0,47.739,-122.34,61.0
583,1,16.0,47.3415,-122.064,26.0
584,1,81.0,47.6205,-122.298,58.0
585,1,96.0,47.5635,-122.382,71.0
586,1,72.0,47.661,-122.28,60.0
587,1,0.0,47.5335,-121.7595,25.0
588,1,81.0,47.598,-122.295,73.0
589,1,7.0,47.583,-121.992,20.0
590,1,19.0,47.7435,-122.232,11.0
591,1,47.0,47.769,-122.16,50.0
592,1,81.0,47.622,-122.292,65.0
593,1,31.0,47.289,-122.352,59.0
594,1,15.0,47.706,-122.232,4.0
595,1,92.0,47.562,-122.391,44.0
596,1,64.0,47.652,-122.3985,54.0
597,1,26.0,47.544,-122.364,40.0
598,1,41.0,47.424,-122.3295,36.0
599,1,15.0,47.4765,-122.145,27.0
600,1,80.0,47.586,-122.3835,60.0
601,1,49.0,47.7765,-122.22,24.0
602,1,40.0,47.3745,-122.226,32.0
603,1,91.0,47.6835,-122.3475,89.0
604,1,2.0,47.724,-122.1195,12.0
605,1,0.0,47.304,-122.037,8.0
606,1,13.0,47.5635,-122.1345,5.0
607,1,88.0,47.676,-122.355,90.0
608,1,29.0,47.7165,-122.3265,66.0
609,1,4.0,47.5215,-122.049,
610,1,89.0,47.6745,-122.3085,83.0
611,1,86.0,47.301,-122.223,64.0
612,1,55.0,47.727,-122.2845,60.0
613,1,8.0,47.7255,-122.064,20.0
614,1,17.0,47.5515,-122.355,55.0
615,1,33.0,47.541,-121.9965,28.0
616,1,76.0,47.6385,-122.391,75.0
617,1,72.0,47.5815,-122.241,40.0
618,1,70.0,47.589,-122.3115,68.0
619,1,24.0,47.3115,-122.3775,10.0
620,1,43.0,47.7465,-122.322,52.0
621,1,6.0,47.5275,-122.1435,12.0
622,1,90.0,47.556,-122.2815,60.0
623,1,15.0,47.475,-122.124,25.0
624,1,39.0,47.367,-122.1645,43.0
625,1,29.0,47.49,-122.283,65.0
626,1,22.0,47.6325,-122.226,22.0
627,1,29.0,47.3715,-122.2785,29.0
628,1,72.0,47.6835,-122.3055,90.0
