,status,walkscore,snapped_lat,snapped_lon,bike_score
265,1,7.0,47.6235,-122.0925,5.0
266,1,10.0,47.586,-122.0835,43.0
267,1,9.0,47.7,-122.2275,28.0
268,1,61.0,47.6835,-122.214,34.0
269,1,16.0,47.616,-122.2245,10.0
270,1,56.0,47.6325,-122.397,65.0
271,1,2.0,47.739,-122.1165,33.0
272,1,77.0,47.6805,-122.2125,37.0
273,1,16.0,47.6265,-122.226,28.0
274,1,20.0,47.5755,-122.073,56.0
275,1,14.0,47.643,-122.4165,16.0
276,1,5.0,47.6985,-122.0115,26.0
277,1,62.0,47.6295,-122.283,37.0
278,1,71.0,47.6295,-122.361,58.0
279,1,53.0,47.67,-122.268,62.0
280,1,71.0,47.664,-122.2035,51.0
281,1,53.0,47.6325,-122.205,32.0
282,1,61.0,47.6295,-122.28,57.0
283,1,29.0,47.628,-122.214,32.0
284,1,26.0,47.6205,-122.238,30.0
285,1,66.0,47.607,-122.2095,22.0
286,1,27.0,47.5875,-122.1945,48.0
287,1,75.0,47.6625,-122.199,60.0
288,1,30.0,47.589,-122.196,43.0
289,1,84.0,47.6205,-122.208,41.0
290,1,48.0,47.6025,-122.193,62.0
291,1,15.0,47.5725,-122.0685,48.0
292,1,2.0,47.541,-121.9875,10.0
293,1,41.0,47.622,-122.211,37.0
294,1,1.0,47.646,-122.076,19.0
295,1,57.0,47.631,-122.205,32.0
296,1,29.0,47.6205,-122.2185,24.0
297,1,88.0,47.6745,-122.196,65.0
298,1,55.0,47.49,-122.34,35.0
299,1,4.0,47.544,-122.196,35.0
300,1,54.0,47.49,-122.3415,36.0
301,1,71.0,47.6235,-122.196,65.0
302,1,17.0,47.5725,-122.1045,29.0
303,1,61.0,47.6055,-122.2095,13.0
304,1,42.0,47.5965,-122.202,29.0
305,1,22.0,47.637,-122.2275,55.0
306,1,37.0,47.5965,-122.2035,31.0
307,1,4.0,47.562,-122.211,8.0
308,1,25.0,47.5785,-122.2455,12.0
309,1,5.0,47.766,-122.1225,42.0
310,1,33.0,47.595,-122.2005,39.0
311,1,30.0,47.637,-122.208,28.0
312,1,83.0,47.622,-122.193,66.0
313,1,71.0,47.6385,-122.4075,19.0
314,1,34.0,47.5725,-122.283,64.0
315,1,34.0,47.5725,-122.2185,34.0
316,1,26.0,47.6565,-122.2755,28.0
317,1,3.0,47.6235,-122.07,27.0
318,1,56.0,47.6625,-122.274,41.0
319,1,6.0,47.562,-122.229,10.0
320,1,29.0,47.6295,-122.3655,66.0
321,1,9.0,47.5905,-122.1105,48.0
322,1,23.0,47.6055,-122.157,42.0
323,1,17.0,47.5695,-122.184,51.0
324,1,84.0,47.682,-122.199,49.0
325,1,32.0,47.634,-122.211,39.0
326,1,5.0,47.766,-122.1225,42.0
327,1,10.0,47.6655,-122.07,27.0
328,1,0.0,47.6445,-98.118,26.0
329,1,73.0,47.628,-122.364,69.0
330,1,79.0,47.664,-122.199,65.0
331,1,18.0,47.5485,-122.1225,37.0
332,1,2.0,47.7165,-122.2575,29.0
333,1,37.0,47.6175,-122.22,20.0
334,1,7.0,47.6205,-122.094,28.0
335,1,81.0,47.607,-122.193,72.0
336,1,48.0,47.6865,-122.2155,30.0
337,1,24.0,47.634,-122.2215,33.0
338,1,70.0,47.622,-122.208,41.0
339,1,59.0,47.589,-122.2455,48.0
340,1,6.0,47.643,-122.2395,29.0
341,1,25.0,47.5455,-122.2335,34.0
342,1,3.0,47.5395,-121.986,6.0
